Symbol,Company Name,Industry,Market Cap,Stock URL
AEO,"American Eagle Outfitters, Inc.",Apparel Retail,4.20B,https://stockanalysis.com/stocks/AEO/
AEON,"AEON Biopharma, Inc.",Biotechnology,65.73M,https://stockanalysis.com/stocks/AEON/
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,46.54B,https://stockanalysis.com/stocks/AEP/
AER,AerCap Holdings N.V.,Rental & Leasing Services,18.99B,https://stockanalysis.com/stocks/AER/
AERT,"Aeries Technology, Inc",Consulting Services,55.04M,https://stockanalysis.com/stocks/AERT/
AES,The AES Corporation,Utilities - Diversified,14.12B,https://stockanalysis.com/stocks/AES/
AESI,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,2.33B,https://stockanalysis.com/stocks/AESI/
AEVA,"Aeva Technologies, Inc.",Software - Infrastructure,164.88M,https://stockanalysis.com/stocks/AEVA/
AEYE,"AudioEye, Inc.",Software - Application,249.13M,https://stockanalysis.com/stocks/AEYE/
AEZS,Aeterna Zentaris Inc.,Biotechnology,22.48M,https://stockanalysis.com/stocks/AEZS/
AFAR,Aura FAT Projects Acquisition Corp,Shell Companies,65.39M,https://stockanalysis.com/stocks/AFAR/
AFBI,"Affinity Bancshares, Inc.",Banks - Regional,132.31M,https://stockanalysis.com/stocks/AFBI/
AFCG,"AFC Gamma, Inc.",REIT - Specialty,251.11M,https://stockanalysis.com/stocks/AFCG/
AFG,"American Financial Group, Inc.",Insurance - Property & Casualty,10.75B,https://stockanalysis.com/stocks/AFG/
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",Shell Companies,93.15M,https://stockanalysis.com/stocks/AFJK/
AFL,Aflac Incorporated,Insurance - Life,50.45B,https://stockanalysis.com/stocks/AFL/
AFMD,Affimed N.V.,Biotechnology,93.50M,https://stockanalysis.com/stocks/AFMD/
AFRI,Forafric Global PLC,Farm Products,294.06M,https://stockanalysis.com/stocks/AFRI/
AFRM,"Affirm Holdings, Inc.",Software - Infrastructure,9.29B,https://stockanalysis.com/stocks/AFRM/
AFYA,Afya Limited,Education & Training Services,1.37B,https://stockanalysis.com/stocks/AFYA/
AG,First Majestic Silver Corp.,Silver,1.84B,https://stockanalysis.com/stocks/AG/
AGAE,Allied Gaming & Entertainment Inc.,Entertainment,31.86M,https://stockanalysis.com/stocks/AGAE/
AGBA,AGBA Acquisition Limited,Asset Management,269.74M,https://stockanalysis.com/stocks/AGBA/
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,7.69B,https://stockanalysis.com/stocks/AGCO/
AGEN,Agenus Inc.,Biotechnology,348.59M,https://stockanalysis.com/stocks/AGEN/
AGFY,Agrify Corporation,Farm & Heavy Construction Machinery,4.05M,https://stockanalysis.com/stocks/AGFY/
AGI,Alamos Gold Inc.,Gold,6.35B,https://stockanalysis.com/stocks/AGI/
AGIO,"Agios Pharmaceuticals, Inc.",Biotechnology,2.70B,https://stockanalysis.com/stocks/AGIO/
AGL,"agilon health, inc.",Medical Care Facilities,2.80B,https://stockanalysis.com/stocks/AGL/
AGM,Federal Agricultural Mortgage Corporation,Credit Services,1.86B,https://stockanalysis.com/stocks/AGM/
AGM.A,Federal Agricultural Mortgage Corporation,Credit Services,1.94B,https://stockanalysis.com/stocks/AGM.A/
AGMH,AGM Group Holdings Inc.,Computer Hardware,23.32M,https://stockanalysis.com/stocks/AGMH/
AGNC,AGNC Investment Corp.,REIT - Mortgage,7.11B,https://stockanalysis.com/stocks/AGNC/
AGO,Assured Guaranty Ltd.,Insurance - Specialty,4.19B,https://stockanalysis.com/stocks/AGO/
AGR,"Avangrid, Inc.",Utilities - Regulated Electric,13.78B,https://stockanalysis.com/stocks/AGR/
AGRI,AgriFORCE Growing Systems Ltd.,Farm Products,5.99M,https://stockanalysis.com/stocks/AGRI/
AGRO,Adecoagro S.A.,Farm Products,938.26M,https://stockanalysis.com/stocks/AGRO/
AGS,"PlayAGS, Inc.",Gambling,456.88M,https://stockanalysis.com/stocks/AGS/
AGX,"Argan, Inc.",Engineering & Construction,1.02B,https://stockanalysis.com/stocks/AGX/
AGYS,"Agilysys, Inc.",Software - Application,2.61B,https://stockanalysis.com/stocks/AGYS/
AHCO,AdaptHealth Corp.,Medical Devices,1.49B,https://stockanalysis.com/stocks/AHCO/
AHG,Akso Health Group,Medical Distribution,19.41M,https://stockanalysis.com/stocks/AHG/
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,733.11M,https://stockanalysis.com/stocks/AHH/
AHI,Advanced Human Imaging Limited,Software - Application,13.11M,https://stockanalysis.com/stocks/AHI/
AHR,"American Healthcare REIT, Inc.",REIT - Healthcare Facilities,763.18M,https://stockanalysis.com/stocks/AHR/
